Key,Summary,Status,Priority,Risk Type,Due Date,Resolved Date,Resolution Type,Component,Assignee (S),Reporter (S)
RCM-479,System C lacks encryption and secure transmission protocols.,To Do,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10081', 'value': 'Data Security Risk', 'id': '10081'}",2025-04-12,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10000', 'id': '10000', 'name': 'System C'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-478,Admin Console has inefficient workflows causing repeated processing errors.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",2025-04-26,2025-04-03,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10100', 'value': 'Duplicate', 'id': '10100'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-477,API Gateway relies on unvetted external vendors for critical operations.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",,2025-04-03,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10100', 'value': 'Duplicate', 'id': '10100'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-476,Admin Console relies on unvetted external vendors for critical operations.,To Do,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10085', 'value': 'Third-Party Risk', 'id': '10085'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10091', 'value': 'alice.nakamura@example.com', 'id': '10091'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-475,HR Portal lacks encryption and secure transmission protocols.,Done,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10081', 'value': 'Data Security Risk', 'id': '10081'}",2025-04-10,2025-03-25,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10103', 'value': 'Third party', 'id': '10103'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10004', 'id': '10004', 'name': 'HR Portal'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-474,API Gateway has inefficient workflows causing repeated processing errors.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10089', 'value': 'Operational Risk', 'id': '10089'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10002', 'id': '10002', 'name': 'API Gateway'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-473,System A is susceptible to insider misuse due to weak monitoring.,In Progress,Low,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10088', 'value': 'Insider Threat Risk', 'id': '10088'}",2025-04-24,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10006', 'id': '10006', 'name': 'System A'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-472,HR Portal contains inconsistent or corrupted entries due to lack of validation.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10084', 'value': 'Data Integrity Risk', 'id': '10084'}",2025-04-30,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10004', 'id': '10004', 'name': 'HR Portal'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-471,System B has experienced unplanned outages due to missing redundancy.,In Progress,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10083', 'value': 'System Availability Risk', 'id': '10083'}",2025-04-26,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
RCM-470,Admin Console is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10082', 'value': 'Compliance Risk', 'id': '10082'}",,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10003', 'id': '10003', 'name': 'Admin Console'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10094', 'value': 'takumi.nishida@example.com', 'id': '10094'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10096', 'value': 'shohei.suzuki@example.com', 'id': '10096'}"
RCM-469,System B contains inconsistent or corrupted entries due to lack of validation.,In Progress,High,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10084', 'value': 'Data Integrity Risk', 'id': '10084'}",2025-04-19,,,"[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10001', 'id': '10001', 'name': 'System B'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10095', 'value': 'mei.kuroda@example.com', 'id': '10095'}"
RCM-468,Finance App is susceptible to insider misuse due to weak monitoring.,Done,Medium,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10088', 'value': 'Insider Threat Risk', 'id': '10088'}",,2023-03-30,"{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10101', 'value': 'Invalid', 'id': '10101'}","[{'self': 'https://pkasai.atlassian.net/rest/api/3/component/10008', 'id': '10008', 'name': 'Finance App'}]","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10093', 'value': 'takuya.mori@example.com', 'id': '10093'}","{'self': 'https://pkasai.atlassian.net/rest/api/3/customFieldOption/10097', 'value': 'haruka.kobayashi@example.com', 'id': '10097'}"
