Key,Summary,Status,Priority,Risk Type,Start Date,Due Date,Resolved Date,Component
RCM-221,System C lacks encryption and secure transmission protocols.,To Do,High,,,2025-04-12,,
RCM-220,Admin Console has inefficient workflows causing repeated processing errors.,To Do,Medium,,,2025-04-26,,
RCM-219,API Gateway relies on unvetted external vendors for critical operations.,To Do,High,,,,,
RCM-218,Admin Console relies on unvetted external vendors for critical operations.,To Do,High,,,,,
RCM-217,HR Portal lacks encryption and secure transmission protocols.,To Do,High,,,2025-04-10,,
RCM-216,API Gateway has inefficient workflows causing repeated processing errors.,To Do,Medium,,,,,
RCM-215,System A is susceptible to insider misuse due to weak monitoring.,To Do,Low,,,2025-04-24,,
RCM-214,HR Portal contains inconsistent or corrupted entries due to lack of validation.,To Do,Medium,,,2025-04-30,,
RCM-213,System B has experienced unplanned outages due to missing redundancy.,To Do,Medium,,,2025-04-26,,
RCM-212,Admin Console is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,,,,,
RCM-211,System B contains inconsistent or corrupted entries due to lack of validation.,To Do,High,,,2025-04-19,,
RCM-210,Finance App is susceptible to insider misuse due to weak monitoring.,To Do,Medium,,,,,
RCM-209,System B lacks documented release processes and R&R for approvals.,To Do,High,,,,,
RCM-208,System C is susceptible to insider misuse due to weak monitoring.,To Do,Medium,,,2025-04-08,,
RCM-207,API Gateway contains inconsistent or corrupted entries due to lack of validation.,To Do,High,,,2025-04-22,,
RCM-206,System A contains inconsistent or corrupted entries due to lack of validation.,To Do,High,,,,,
RCM-205,Finance App is not aligned with regulatory standards or lacks compliance documentation.,To Do,Medium,,,,,
RCM-204,Finance App lacks documented release processes and R&R for approvals.,To Do,Low,,,2023-05-11,,
RCM-203,Customer DB lacks encryption and secure transmission protocols.,To Do,High,,,,,
RCM-202,HR Portal lacks documented release processes and R&R for approvals.,To Do,High,,,2025-04-20,,
RCM-201,Data Warehouse relies on unvetted external vendors for critical operations.,To Do,Low,,,,,
RCM-200,Data Warehouse contains inconsistent or corrupted entries due to lack of validation.,To Do,High,,,,,
RCM-199,HR Portal contains inconsistent or corrupted entries due to lack of validation.,To Do,Low,,,,,
RCM-198,Customer DB grants unnecessary privileges to non-admin users.,To Do,Low,,,2025-04-25,,
RCM-197,Customer DB contains inconsistent or corrupted entries due to lack of validation.,To Do,Medium,,,,,
RCM-196,System C relies on unvetted external vendors for critical operations.,To Do,High,,,2025-04-29,,
RCM-195,Data Warehouse exposes personal data due to improper access control.,To Do,Low,,,,,
RCM-194,Admin Console lacks documented release processes and R&R for approvals.,To Do,Low,,,2024-06-30,,
RCM-193,Data Warehouse relies on unvetted external vendors for critical operations.,To Do,High,,,2025-04-27,,
RCM-192,Finance App exposes personal data due to improper access control.,To Do,Medium,,,2023-04-13,,
RCM-191,Finance App grants unnecessary privileges to non-admin users.,To Do,High,,,,,
RCM-190,Customer DB relies on unvetted external vendors for critical operations.,To Do,Low,,,,,
RCM-189,Finance App relies on unvetted external vendors for critical operations.,To Do,High,,,2023-04-30,,
RCM-188,Customer DB has inefficient workflows causing repeated processing errors.,To Do,Low,,,,,
RCM-187,Admin Console contains inconsistent or corrupted entries due to lack of validation.,To Do,Low,,,2024-06-30,,
RCM-186,Data Warehouse grants unnecessary privileges to non-admin users.,To Do,Medium,,,,,
RCM-185,API Gateway has inefficient workflows causing repeated processing errors.,To Do,Medium,,,2025-04-29,,
RCM-184,Admin Console is not aligned with regulatory standards or lacks compliance documentation.,To Do,Low,,,2025-04-18,,
RCM-183,API Gateway lacks documented release processes and R&R for approvals.,To Do,Medium,,,,,
RCM-182,Admin Console has inefficient workflows causing repeated processing errors.,To Do,High,,,2025-04-28,,
RCM-181,API Gateway exposes personal data due to improper access control.,To Do,High,,,2025-04-28,,
RCM-180,Finance App has inefficient workflows causing repeated processing errors.,To Do,High,,,2025-04-22,,
RCM-179,System B exposes personal data due to improper access control.,To Do,Low,,,2025-04-11,,
